frame,captured_ns,processed_ns,shift_x,shift_y,quality,command_x,command_y,dropped_frames
241,111344677782583,111344678527333,-5.9693,-9.95981,12.6025,60.4862,-18.9475,131
243,111344678280958,111344679069500,-6.96416,-9.95974,12.6051,54.2442,-20,133
246,111344679030916,111344679615875,-6.96416,-9.95974,12.6051,60.9655,-20,134
248,111344679530875,111344680166666,-6.96416,-9.95974,12.6051,54.6994,-20,135
250,111344680031041,111344680701250,-6.96416,-9.95974,12.6051,61.4332,-20,136
252,111344680529875,111344681244958,-6.96416,-9.95974,12.6051,55.1582,-20,137
254,111344681030625,111344681779625,-6.96416,-9.95974,12.6051,61.8984,-20,138
256,111344681535708,111344682323333,-6.96416,-9.95974,12.6051,55.6187,-20,140
259,111344682284875,111344682869166,-7.95971,-9.95963,12.6081,49.3299,-20,141
261,111344682779625,111344683415958,-7.95971,-9.95963,12.6081,56.08,-20,142
263,111344683279916,111344683976333,-7.95971,-9.95963,12.6081,49.7933,-20,143
265,111344683781666,111344684530458,-7.95971,-9.95963,12.6081,56.5419,-20,144
267,111344684253458,111344685080666,-7.95971,-9.95963,12.6081,50.2562,-20,146
270,111344685029791,111344685639458,-7.95971,-9.95963,12.6081,57.0039,-20,147
272,111344685529541,111344686185583,-7.95971,-9.95963,12.6081,50.7189,-20,148
274,111344686029208,111344686737041,-7.95971,-9.95963,12.6081,55.2176,-20,149
276,111344686532000,111344687295750,-7.95971,-9.95963,12.6081,50.6125,-20,151
279,111344687279291,111344687857625,-7.95977,-8.96367,12.6063,50.71,9.01808,152
281,111344687779791,111344688390541,-7.95977,-8.96367,12.6063,49.187,-18.8012,153
283,111344688277958,111344688942958,-7.95977,-8.96367,12.6063,48.1718,11.1526,154
285,111344688778541,111344689482583,-7.95977,-8.96367,12.6063,47.447,-17.338,155
287,111344689280125,111344690047291,-7.95977,-8.96367,12.6063,45.8569,13.0992,157
290,111344690029000,111344690594166,-7.95977,-8.96367,12.6063,45.6128,-15.7956,158
292,111344690530500,111344691139625,-7.95977,-8.96367,12.6063,43.6782,14.9314,159
294,111344691030000,111344691686416,-7.95977,-8.96367,12.6063,43.6126,-14.1136,160
296,111344691530125,111344692238916,-7.95977,-8.96367,12.6063,42.1972,-0.0418477,161
298,111344692038166,111344692773625,-7.95977,-8.96367,12.6063,41.7864,-17.8286,162
300,111344692535041,111344693314500,-6.96421,-8.96377,12.6033,48.141,-19.1329,164
303,111344693282958,111344693823041,-6.96421,-8.96377,12.6033,42.0568,-20,165
305,111344693779666,111344694325000,-6.96424,-7.9674,12.6019,47.4117,4.59699,166
307,111344694278666,111344694840541,-6.96424,-7.9674,12.6019,42.0568,-20,167
309,111344694779666,111344695379375,-6.96424,-7.9674,12.6019,47.4117,4.59699,168
311,111344695281083,111344695911375,-6.96424,-7.9674,12.6019,42.0568,-20,169
313,111344695779333,111344696458708,-6.96424,-7.9674,12.6019,47.4117,4.59699,170
315,111344696280250,111344697001750,-5.96935,-7.96746,12.5993,55.0883,-20,171
317,111344696781250,111344697547666,-5.96935,-7.96746,12.5993,47.4117,15.5556,173
320,111344697529958,111344698094208,-5.96935,-7.96746,12.5993,55.0883,-20,174
322,111344698030750,111344698638333,-5.96935,-7.96746,12.5993,47.9745,0.974719,175
324,111344698530500,111344699166208,-5.9694,-6.97081,12.5985,53.3294,25.5717,176
326,111344699027041,111344699714958,-5.9694,-6.97081,12.5985,47.9745,0.974719,177
328,111344699530958,111344700279250,-4.97495,-6.97084,12.5962,53.3294,25.5717,178
330,111344700030375,111344700792458,-4.97495,-6.97084,12.5962,47.9745,0.974719,180
333,111344700778416,111344701302666,-4.97495,-6.97084,12.5962,53.3294,25.5717,181
335,111344701276916,111344701814583,-4.97495,-6.97084,12.5962,47.9745,0.974719,182
337,111344701779416,111344702314958,-3.98068,-6.97086,12.5941,53.3294,25.5717,183
339,111344702278541,111344702815750,-3.98068,-6.97086,12.5941,47.9745,0.974719,184
341,111344702778041,111344703314208,-3.9807,-5.97405,12.5939,53.3294,25.5717,185
343,111344703278625,111344703815750,-3.9807,-5.97405,12.5939,47.9745,0.974719,186
345,111344703778958,111344704330833,-2.9863,-5.97407,12.5921,53.3294,25.5717,187
347,111344704274208,111344704831958,-2.9863,-5.97407,12.5921,47.9745,0.974719,188
349,111344704777333,111344705332625,-2.9863,-5.97407,12.5921,53.3294,25.5717,189
351,111344705278583,111344705854625,-2.9863,-5.97407,12.5921,47.9745,0.974719,190
353,111344705778916,111344706355125,-1.99149,-5.97405,12.5907,53.3294,25.5717,191
355,111344706278958,111344706856541,-1.99149,-5.97405,12.5907,47.9745,0.974719,192
357,111344706779083,111344707357291,-1.99149,-4.97719,12.591,53.3294,25.5717,193
359,111344707279083,111344707858708,-1.99149,-4.97719,12.591,47.9745,0.974719,194
361,111344707778708,111344708359958,-0.996079,-4.97717,12.59,53.3294,25.5717,195
363,111344708279000,111344708862416,-0.996079,-4.97717,12.59,47.9745,0.974719,196
365,111344708778791,111344709364583,-0.996079,-4.97717,12.59,53.3294,25.5717,197
367,111344709269250,111344709864958,-1.80323e-05,-4.97717,12.5894,61.006,-9.9839,198
369,111344709770708,111344710365083,-1.80323e-05,-4.97717,12.5894,53.3294,25.5717,199
371,111344710270666,111344710880375,-1.80323e-05,-4.97717,12.5894,61.006,-9.9839,200
373,111344710772208,111344711390916,-1.79486e-05,-3.9807,12.5903,53.3294,25.5717,201
375,111344711280583,111344711894500,0.99672,-3.98069,12.5902,61.006,-9.9839,202
377,111344711778333,111344712395166,0.99672,-3.98069,12.5902,53.3294,25.5717,203
379,111344712278375,111344712896875,0.99672,-3.98069,12.5902,61.006,-9.9839,204
381,111344712779125,111344713418208,0.99672,-3.98069,12.5902,53.3294,25.5717,205
383,111344713281000,111344713945000,1.994,-3.9807,12.5908,61.006,-9.9839,206
385,111344713777875,111344714454375,1.994,-3.9807,12.5908,53.3294,25.5717,207
387,111344714276833,111344714949208,1.994,-2.98458,12.5923,58.6842,50.1687,208
389,111344714778666,111344715444291,1.994,-2.98458,12.5923,53.3294,25.5717,209
391,111344715277916,111344715939958,2.99151,-2.98459,12.5935,58.6842,50.1687,210
393,111344715778875,111344716436041,2.99151,-2.98459,12.5935,53.3294,25.5717,211
395,111344716278000,111344716952625,2.99151,-2.98459,12.5935,58.6842,50.1687,212
397,111344716788875,111344717446333,2.99151,-2.98459,12.5935,53.3294,25.5717,213
399,111344717277958,111344717941041,3.98892,-2.98459,12.5953,58.6842,50.1687,214
401,111344717778291,111344718435250,3.98892,-2.98459,12.5953,53.3294,25.5717,215
403,111344718277916,111344718934958,3.98892,-2.98459,12.5953,59.0932,39.5723,216
405,111344718779125,111344719434666,3.98892,-1.98898,12.5974,51.4166,75.1279,217
407,111344719278125,111344719937000,4.98595,-1.98903,12.5998,59.0932,39.5723,218
409,111344719779125,111344720437041,4.98595,-1.98903,12.5998,51.4166,75.1279,219
411,111344720278708,111344720937583,4.98595,-1.98903,12.5998,59.0932,39.5723,220
413,111344720779083,111344721437375,4.98595,-1.98903,12.5998,51.4166,75.1279,221
415,111344721278166,111344721943333,4.98595,-1.98903,12.5998,59.0932,39.5723,222
417,111344721779333,111344722463291,5.98242,-1.98902,12.6029,64.4481,64.1693,223
419,111344722277875,111344722975958,5.98242,-1.98902,12.6029,59.0932,39.5723,224
421,111344722781958,111344723485541,5.98242,-1.98902,12.6029,64.7809,55.5465,225
423,111344723276916,111344723995166,5.98242,-1.98902,12.6029,58.9408,43.5222,226
425,111344723776541,111344724508375,5.98241,-0.99408,12.6054,64.2956,68.1192,227
427,111344724275041,111344725024958,6.97826,-0.994104,12.6089,71.9723,32.5636,228
429,111344724778083,111344725537583,6.97826,-0.994104,12.6089,64.2956,68.1192,230
431,111344725277291,111344726060333,6.97826,-0.994104,12.6089,71.9723,32.5636,231
434,111344726030875,111344726583666,6.97826,-0.994104,12.6089,64.2956,68.1192,232
436,111344726530875,111344727137125,6.97826,-0.994104,12.6089,71.9723,32.5636,233
438,111344727030791,111344727635041,6.97826,-0.994104,12.6089,64.2956,68.1192,234
440,111344727528708,111344728136333,6.97826,-0.994104,12.6089,71.9461,33.2403,235
442,111344728029375,111344728647458,6.97826,-0.994104,12.6089,66.9042,56.8874,236
444,111344728530208,111344729148583,7.97353,-0.994139,12.6129,74.0152,35.9854,237
446,111344729027625,111344729649791,7.97353,-0.994139,12.6129,67.1113,51.5223,238
448,111344729527375,111344730175833,7.97353,-0.994139,12.6129,73.9453,37.7982,239
450,111344730029041,111344730685541,7.97352,-0.000165539,12.616,66.2686,73.3538,240
452,111344730526958,111344731198166,7.97352,-0.000165539,12.616,73.9453,37.7982,241
454,111344731028791,111344731692916,7.97352,-0.000165539,12.616,66.2686,73.3538,242
456,111344731527625,111344732201458,7.97352,-0.000165539,12.616,73.9453,37.7982,243
458,111344732030458,111344732708250,7.97352,-0.000165539,12.616,66.2885,73.3371,244
460,111344732528166,111344733217750,7.97352,-0.000165539,12.616,73.9033,37.8335,245
462,111344733030875,111344733726041,7.97352,-0.000165539,12.616,69.9033,70.2972,246
464,111344733526125,111344734235083,7.97352,-0.000165539,12.616,74.8949,36.9996,247
466,111344734025708,111344734765625,7.97352,-0.000165539,12.616,72.9979,61.9689,248
468,111344734525666,111344735277875,7.97352,-0.000165539,12.616,76.1437,42.5517,250
470,111344735024708,111344735788166,7.97352,-0.000165539,12.616,75.6702,54.9915,251
472,111344735526166,111344736300166,7.97352,-0.000165539,12.616,77.7935,44.5742,252
475,111344736277958,111344736798500,7.97352,-0.000165539,12.616,78.1783,49.4594,253
477,111344736777166,111344737295625,7.97352,-0.000165539,12.616,79.687,44.4511,254
479,111344737276875,111344737792625,7.97352,-0.000165539,12.616,80.389,46.5443,255
481,111344737777541,111344738312166,7.97352,-0.000165539,12.616,81.6699,43.5425,256
483,111344738276916,111344738810750,7.97352,-0.000165539,12.616,82.5354,44.1961,257
485,111344738776916,111344739312000,6.97824,-0.000165713,12.612,76.0592,48.6507,258
487,111344739278750,111344739813083,6.97824,-0.000165713,12.612,82.5466,43.9055,259
489,111344739778500,111344740314166,6.97824,-0.000165713,12.612,76.0512,48.8578,260
491,111344740278666,111344740862041,6.97824,-0.000165713,12.612,82.5524,43.7564,261
493,111344740779083,111344741378916,6.97824,-0.000165713,12.612,76.0471,48.9645,262
495,111344741277583,111344741879791,6.97824,-0.000165713,12.612,82.5553,43.6798,263
497,111344741779208,111344742381000,6.97824,-0.000165713,12.612,76.045,49.0194,264
499,111344742278458,111344742881833,6.97824,-0.000165713,12.612,82.5569,43.6402,265
501,111344742778375,111344743383333,5.9824,-0.000130126,12.6085,76.0434,49.0597,266
503,111344743277958,111344743883875,5.9824,-0.000130126,12.6085,82.5575,43.6232,267
505,111344743778583,111344744384625,5.9824,-0.000130126,12.6085,76.043,49.0716,268
507,111344744277958,111344744886291,5.9824,-0.000130126,12.6085,82.5579,43.6144,269
509,111344744778875,111344745387583,5.9824,-0.000130126,12.6085,76.0427,49.0777,270
511,111344745278791,111344745888916,4.98594,-0.000106444,12.6055,69.5262,54.5764,271
513,111344745778833,111344746395708,4.98594,-0.000106444,12.6055,76.0425,49.0831,272
515,111344746278791,111344746931041,4.98594,-0.000106444,12.6055,69.5264,54.5723,273
517,111344746780750,111344747438541,4.98594,-0.000106444,12.6055,76.0424,49.0858,274
519,111344747278333,111344747941125,4.98594,-0.000106444,12.6055,69.5265,54.5702,275
521,111344747778750,111344748436500,3.98892,-0.994044,12.5999,64.1716,29.9732,276
523,111344748278583,111344748937041,3.98892,-0.994044,12.5999,69.5265,54.5702,277
525,111344748779666,111344749437166,3.98892,-0.994044,12.5999,64.1716,29.9732,278
527,111344749277958,111344749937916,3.98892,-0.994044,12.5999,69.5265,54.5702,279
529,111344749779333,111344750438791,2.99149,-0.994022,12.5981,64.1716,29.9732,280
531,111344750277875,111344750934166,2.99149,-0.994022,12.5981,69.5265,54.5702,281
533,111344750777916,111344751434208,2.99149,-0.994022,12.5981,64.1716,29.9732,282
535,111344751277875,111344751933666,2.99149,-0.994022,12.5981,69.5265,54.5702,283
537,111344751778291,111344752448083,1.994,-0.994022,12.5968,63.9498,35.7193,284
539,111344752278625,111344752942458,1.994,-0.994022,12.5968,69.8315,46.6665,285
541,111344752778666,111344753437625,1.994,-0.994022,12.5968,63.8103,39.3329,286
543,111344753278833,111344753944791,1.994,-0.994022,12.5968,70.0109,42.0191,287
545,111344753778625,111344754462333,0.996724,-0.994001,12.5962,63.7607,40.6191,288
547,111344754285375,111344754994750,0.996732,-1.98895,12.5937,71.4373,5.06353,289
549,111344754794833,111344755506291,0.996732,-1.98895,12.5937,63.7607,40.6191,290
551,111344755275250,111344756019041,0.996732,-1.98895,12.5937,71.4373,5.06353,291
553,111344755767791,111344756543208,-1.85867e-05,-1.98898,12.5937,63.7607,40.6191,293
556,111344756526208,111344757065541,-1.85867e-05,-1.98898,12.5937,71.4373,5.06353,294
558,111344757021708,111344757579458,-1.85867e-05,-1.98898,12.5937,63.7607,40.6191,295
560,111344757531375,111344758111416,-0.996075,-1.98898,12.5943,58.4058,16.0221,296
562,111344758030958,111344758620125,-0.996075,-1.98898,12.5943,63.9052,36.8758,297
564,111344758527458,111344759134291,-0.996075,-1.98898,12.5943,58.1998,21.3592,298
566,111344759030416,111344759635166,-0.996093,-2.98458,12.5922,65.8765,-14.1964,299
568,111344759527291,111344760149208,-1.99149,-2.98458,12.5933,58.1998,21.3592,300
570,111344760030250,111344760650166,-1.99149,-2.98458,12.5933,65.8765,-14.1964,301
572,111344760527375,111344761167791,-1.99149,-2.98458,12.5933,58.1998,21.3592,302
574,111344761033166,111344761668916,-1.99149,-2.98458,12.5933,65.8765,-14.1964,303
576,111344761528125,111344762183083,-2.98631,-2.98458,12.5947,58.1998,21.3592,304
578,111344762031000,111344762700958,-2.98631,-2.98458,12.5947,65.8765,-14.1964,305
580,111344762531000,111344763212458,-2.98631,-2.98458,12.5947,58.2065,21.1865,306
582,111344763028625,111344763728250,-2.98632,-3.98069,12.5932,65.8831,-14.3691,307
584,111344763527291,111344764269875,-3.98072,-3.98067,12.595,58.2065,21.1865,308
586,111344764030500,111344764783750,-3.98072,-3.98067,12.595,65.8831,-14.3691,310
588,111344764527125,111344765311083,-3.98072,-3.98067,12.595,58.2065,21.1865,311
591,111344765275166,111344765812375,-4.97497,-3.98066,12.597,52.8516,-3.41046,312
593,111344765776958,111344766344750,-4.97497,-3.98066,12.597,58.2065,21.1865,313
595,111344766276500,111344766844583,-4.97497,-3.98066,12.597,52.8516,-3.41046,314
597,111344766778166,111344767362250,-4.97497,-3.98066,12.597,58.3089,18.5324,315
599,111344767281291,111344767888041,-4.97496,-4.97714,12.5962,52.9541,-6.06464,316
601,111344767777791,111344768388583,-5.96941,-4.97715,12.5985,45.2774,29.491,317
603,111344768278666,111344768891041,-5.96941,-4.97715,12.5985,52.9541,-6.06464,318
605,111344768778250,111344769395458,-5.96941,-4.97715,12.5985,45.2774,29.491,319
607,111344769278500,111344769896958,-5.96941,-4.97715,12.5985,52.9541,-6.06464,320
609,111344769778958,111344770410958,-5.96941,-4.97715,12.5985,45.2774,29.491,321
611,111344770278791,111344770917500,-5.96941,-4.97715,12.5985,52.9541,-6.06464,322
613,111344770778166,111344771428291,-6.96427,-5.974,12.6008,47.5992,-20,323
615,111344771279000,111344771929541,-6.96427,-5.974,12.6008,52.9541,4.59699,324
617,111344771778416,111344772431583,-6.96427,-5.974,12.6008,47.5992,-20,325
619,111344772279166,111344772932166,-6.96427,-5.974,12.6008,52.9541,4.59699,326
621,111344772778083,111344773433625,-6.96427,-5.974,12.6008,47.5992,-20,327
623,111344773278625,111344773934625,-6.96427,-5.974,12.6008,52.9541,4.59699,328
625,111344773779250,111344774437541,-6.96427,-5.974,12.6008,47.5992,-20,329
627,111344774276875,111344774938125,-7.95984,-5.97399,12.6038,40.074,11.6319,330
629,111344774778250,111344775434541,-7.95981,-6.97074,12.6041,47.7507,-20,331
631,111344775276791,111344775935916,-7.95981,-6.97074,12.6041,40.074,15.5556,332
633,111344775776833,111344776438250,-7.95981,-6.97074,12.6041,47.7507,-20,333
635,111344776276833,111344776938916,-7.95981,-6.97074,12.6041,40.074,15.5556,334
637,111344776776833,111344777433958,-7.95981,-6.97074,12.6041,47.7507,-20,335
639,111344777276791,111344777935083,-7.95981,-6.97074,12.6041,40.074,15.5556,336
641,111344777777083,111344778436958,-7.95981,-6.97074,12.6041,46.5889,-19.023,337
643,111344778277708,111344778954958,-7.95981,-6.97074,12.6041,39.8068,15.7803,338
645,111344778774833,111344779487541,-7.95981,-6.97074,12.6041,43.205,-15.6552,339
647,111344779273916,111344780005583,-7.9598,-7.96738,12.6049,40.9632,-20,340
649,111344779774958,111344780507875,-7.9598,-7.96738,12.6049,40.4611,9.52236,341
651,111344780276166,111344781060791,-7.9598,-7.96738,12.6049,39.3688,-18.6592,343
654,111344781030083,111344781577125,-7.9598,-7.96738,12.6049,37.9032,11.6733,344
656,111344781526541,111344782079291,-7.9598,-7.96738,12.6049,37.4999,-17.0876,345
658,111344782026875,111344782580291,-7.9598,-7.96738,12.6049,35.6797,13.5431,346
660,111344782527250,111344783082166,-7.9598,-7.96738,12.6049,35.5322,-15.4329,347
662,111344783027958,111344783583500,-7.9598,-7.96738,12.6049,33.857,6.84104,348
664,111344783527416,111344784102625,-7.9598,-7.96738,12.6049,33.5954,-15.8809,349
666,111344784025291,111344784603625,-7.95977,-8.96367,12.6063,33.8214,-20,350
668,111344784526583,111344785108583,-7.95977,-8.96367,12.6063,31.5498,11.0103,351
670,111344785028541,111344785609375,-6.96421,-8.96377,12.6033,39.2264,-20,352
672,111344785527333,111344786112000,-6.96421,-8.96377,12.6033,31.5498,15.5556,353
674,111344786027500,111344786613583,-6.96421,-8.96377,12.6033,39.2264,-20,354
676,111344786528833,111344787120583,-6.96421,-8.96377,12.6033,31.5498,15.5556,355
678,111344787028666,111344787620375,-6.96421,-8.96377,12.6033,39.2264,-20,356
680,111344787528375,111344788128791,-6.96421,-8.96377,12.6033,31.6922,11.8656,357
682,111344788028083,111344788630250,-6.96421,-8.96377,12.6033,39.2964,-20,358
684,111344788527416,111344789132208,-6.96421,-8.96377,12.6033,32.3568,-3.54172,359
686,111344789028333,111344789633625,-5.96934,-8.96384,12.6006,39.5348,-20,360
688,111344789528166,111344790136208,-5.96934,-8.96384,12.6006,32.9013,-11.4712,361
690,111344790028500,111344790637833,-5.96934,-8.96384,12.6006,39.8589,-20,362
692,111344790528541,111344791139208,-5.9693,-9.95981,12.6025,34.504,-20,363
694,111344791028291,111344791641250,-5.9693,-9.95981,12.6025,39.8589,4.59699,364
